Nome da Loja;Estado;Produto;Quantidade;Data;Preço do Produto
Loja D;RJ;Produto Y;18;2023-09-10 00:00:00;411,52
Loja E;RS;Produto X;2;2024-03-29 00:00:00;59,09
Loja C;PR;Produto X;10;2023-07-08 00:00:00;450,35
Loja E;RS;Produto X;12;2024-03-18 00:00:00;466,94
Loja E;RS;Produto Z;2;2023-05-10 00:00:00;137,04
Loja B;PR;Produto V;13;2024-04-29 00:00:00;253,72
Loja C;RS;Produto V;8;2023-01-03 00:00:00;430,36
Loja C;PR;Produto W;7;2023-12-17 00:00:00;248,8
Loja C;PR;Produto X;3;2024-07-08 00:00:00;246,17
Loja E;PR;Produto Z;8;2023-05-13 00:00:00;313,08
Loja D;RJ;Produto Y;1;2024-11-20 00:00:00;386,05
Loja C;MG;Produto Y;15;2024-05-08 00:00:00;336,15
Loja E;RJ;Produto W;1;2023-09-23 00:00:00;317,02
Loja B;PR;Produto W;12;2023-01-24 00:00:00;192,12
Loja D;MG;Produto X;11;2024-06-17 00:00:00;318,74
Loja B;MG;Produto X;16;2023-01-03 00:00:00;60,6
Loja D;PR;Produto Y;4;2024-10-31 00:00:00;210,68
Loja E;MG;Produto Y;2;2024-03-02 00:00:00;102,29
Loja A;MG;Produto Y;3;2023-01-04 00:00:00;273,41
Loja D;RJ;Produto Y;4;2024-09-10 00:00:00;138,4
Loja B;MG;Produto V;18;2024-05-17 00:00:00;257,91
Loja E;PR;Produto X;12;2023-08-20 00:00:00;390,89
Loja D;SP;Produto X;1;2023-03-13 00:00:00;222,66
Loja A;SP;Produto Y;3;2023-03-29 00:00:00;117,18
Loja A;SP;Produto Z;4;2024-06-11 00:00:00;119,26
Loja C;PR;Produto Y;6;2024-08-25 00:00:00;454,06
Loja C;SP;Produto W;17;2024-03-25 00:00:00;392,64
Loja B;RJ;Produto Z;8;2024-03-14 00:00:00;27,92
Loja D;PR;Produto W;18;2024-06-15 00:00:00;471,93
Loja D;PR;Produto Z;16;2024-03-10 00:00:00;65,16
Loja C;PR;Produto W;6;2024-12-24 00:00:00;329,94
Loja D;MG;Produto Y;19;2023-03-25 00:00:00;280,24
Loja D;MG;Produto Y;8;2023-12-05 00:00:00;32,87
Loja A;MG;Produto Z;4;2023-05-06 00:00:00;154,63
Loja C;RS;Produto W;9;2024-07-16 00:00:00;390,17
Loja E;RJ;Produto V;8;2023-01-18 00:00:00;160,37
Loja C;PR;Produto Z;19;2024-09-20 00:00:00;245,36
Loja E;PR;Produto Z;1;2024-09-27 00:00:00;352
Loja A;MG;Produto X;4;2024-06-23 00:00:00;45,07
Loja B;PR;Produto Z;10;2023-12-11 00:00:00;417,98
Loja D;PR;Produto V;8;2024-04-12 00:00:00;30,37
Loja A;SP;Produto Y;3;2023-05-21 00:00:00;138,57
Loja D;PR;Produto W;12;2023-01-06 00:00:00;383,9
Loja B;RS;Produto X;9;2024-10-30 00:00:00;456,82
Loja B;MG;Produto W;3;2024-09-09 00:00:00;382,57
Loja A;RJ;Produto Y;4;2024-09-22 00:00:00;121,23
Loja B;RJ;Produto Z;6;2024-10-10 00:00:00;493
Loja E;SP;Produto V;9;2024-06-24 00:00:00;212,53
Loja B;RJ;Produto X;2;2024-11-08 00:00:00;194,46
